Horodateur,Score,Quel type de baccalauréat avez-vous obtenu?,Dans quelles disciplines avez-vous décidé de vous spécialiser lors de votre cursus de baccalauréat (vos spécialités) ?,Dans quelles matières  vous sentez-vous le plus compétent ?,Quelle a été votre mention au baccalauréat?,Quelle filière d'études avez-vous décidé de poursuivre à l'université ou dans l'enseignement supérieur ?,"Avez-vous eu une préférence pour des études :
",Quels domaines d'études ou de formation universitaire avez-vous choisi de poursuivre ?,Avez-vous eu une préférence pour :,Dans quel pays avez-vous passé le baccalauréat?,Quels secteurs professionnels suscitent votre intérêt ou correspondent à votre domaine d'activité actuel ?,Quel était votre tranche d'âge au moment de l'obtention votre bac?,Quel est votre genre ?,"Question optionnelle:

Quelles sont vos qualités personnelles?","Question optionnelle:
 Avez-vous des loisirs, des hobbies ou des activités extra-scolaires qui vous passionnent ?","Question optionnelle:

Quelle a été la manière dont vous avez découvert ou choisi votre orientation académique ou votre domaine d'études ?",Quel est votre Niveau d'étude ?,Quels sont vos centres d'intérêt principaux?,Quel est votre pays de résidence?,Êtes-vous plus à l'aise avec des cours en :,"Question optionnelle:
Pouvez-vous formuler une remarque ou avez-vous quelque chose à ajouter ?",Quelle est l'année d'obtention de votre bac?,Êtes-vous content de la filière que vous avez choisie ?,Adresse e-mail,Dans quel établissement d'enseignement supérieur poursuivez-vous actuellement vos études ou avez-vous suivi votre formation ?
16/10/2023 15:30:12,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC), Sciences de la vie et de la Terre (SVT), Numériques et sciences informatiques","Sciences de la vie et de la Terre (SVT), Sciences numériques et technologie",Assez-bien,Informatique,Longues (>= master),Sciences et technologies,Université,France,Dev dans le jeu-vidéo,12-17,Masculin,,,"J’ai toujours eu une affection pour l’informatique donc c’était très naturel pour moi.
Quant au choix d’aller en Université, j’ai eu beaucoup de pression externe pour me faire aller en prepa + école d’ingénieur mais je sais que je fonctionne très mal dans ce genre d’environnement. J’ai choisi de partir à l’université pour le côté plus ouvert et qui permet les erreurs de parcours etc",Master,"Sciences, Technologie et Informatique, Voyages, Musique, Ingénierie, Cinema",France,présentiel,,2018,Oui,,Université Lumière Lyon 2
16/10/2023 15:14:22,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC), Sciences de l'ingénieur",Mathématiques,Bien,CPGE puis université ,Longues (>= master),Maths,classe préparatoire,France,Enseignement ,12-17,Féminin,,,,Licence,"Cuisine et Gastronomie, Maths",France ,présentiel,,2022,Oui,,Université de lille
16/10/2023 15:07:16,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC), Sciences de la vie et de la Terre (SVT), Numériques et sciences informatiques","Mathématiques, Sciences numériques et technologie",Bien,Licence Informatique puis ingenieur ENSEEIHT,Longues (>= master),Sciences et technologies,Université,France,Aerospatiale,18-21,Masculin,,,,Master,"Sciences, Technologie et Informatique, Cuisine et Gastronomie, Musique, Ingénierie",France,présentiel,,2019,Oui,,ENSEEIHT
16/10/2023 14:58:44,,Economie et Sociale (équivalent),"Sciences économiques et sociales, Histoire-géographie ( HGGSP ), Langues, littératures et cultures étrangères","Histoire - Géographie, Français, Langues étrangères",Assez-bien,Science du langage,Courtes ( < master),Sciences humaines et sociales,BTS,France ,Professeur des écoles ,12-17,Féminin,,,,Licence,"Nature et Environnement, Cuisine et Gastronomie, Voyages, Musique",France ,hybrides,,2021,Non,,Villeneuve d’ascq Pont de Bois 
16/10/2023 14:42:34,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC)",Physique-chimie (PC),Très-bien,licence,Longues (>= master),Sciences et technologies,Université,France,Chercheurs de en physique ,12-17,Féminin,,,Profs au lycée + salon de l’étudiant + visite de différents établissements ,Licence,"Sciences, Arts, Nature et Environnement, Cuisine et Gastronomie, Histoire et Archéologie",France ,hybrides,,2021,Oui,,Université de Lille 
16/10/2023 14:38:16,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC), Sciences de l'ingénieur","Mathématiques, Langues étrangères",Très-bien,Mathématiques ,Longues (>= master),Sciences et technologies,classe préparatoire,France,,18-21,Féminin,,,,Licence,"Sciences, Arts, Technologie et Informatique",France,présentiel,,2021,Oui,,Université de lille
16/10/2023 14:31:40,,Scientifique (équivalent),Mathématiques,"Mathématiques, Langues étrangères",Assez-bien,Mathématiques,Longues (>= master),Sciences et technologies,Université,France,Statistiques,18-21,Masculin,"Sérieux, motivé",,J'ai choisi mon orientation en fonction de ce que j'aimais faire au lycée et de mes passions.,Licence,"Sciences, Technologie et Informatique, Musique",France,hybrides,"Rien à dire, bon courage",2019,Oui,,Université de Lille
16/10/2023 14:31:00,,Maths et histoire ,"Mathématiques, Sciences économiques et sociales, Histoire-géographie ( HGGSP )",Mathématiques,Très-bien,sciences du langage,Courtes ( < master),"Lettres, langues et art",Université,France,Enseignement ,18-21,Féminin,"Organisation, assiduité ",, Parcoursup et recherches personnelles,Licence,"Théâtre et arts de la scène, Cinema",France,hybrides,,2022,Oui,,Université de lille
16/10/2023 14:29:03,,Scientifique (équivalent),Mathématiques,"Mathématiques, Physique-chimie (PC)",Très-bien,Maths,Longues (>= master),Sciences et technologies,Université,France,Ingénierie ,12-17,Masculin,Jen n'ai pas,,,Licence,"Sciences, Sport et Fitness, Voyages, Histoire et Archéologie, Ingénierie",France ,présentiel,,2020,Non,,Université de Lille 
16/10/2023 14:28:39,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC), Sciences de la vie et de la Terre (SVT)",Mathématiques,Bien,Licence mathématiques ,Longues (>= master),Sciences et technologies,Université,France,L'enseignement dans le secondaire ,18-21,Féminin,À l'écoute et altruiste ,,En cours de mathématiques au collège ,Licence,"Sciences, Cinema",France,présentiel,Non rien ,2020,Oui,,Lille1
16/10/2023 14:27:22,,Economie et Sociale (équivalent),"Mathématiques, Sciences économiques et sociales, Histoire-géographie ( HGGSP )","Sciences économiques et sociales, Langues étrangères",Très-bien,Sciences politiques,Longues (>= master),Droit et sciences politiques,Université,France ,"Humanitaire, international",12-17,Féminin,,,"Par deux personnes, une amie plus âgée et ma professeure de SES",Bac,"Nature et Environnement, Voyages, Science politique et Affaires publiques, Photographie",France ,hybrides,,2023,Oui,,Université de Lille
16/10/2023 14:25:34,,Scientifique (équivalent),Mathématiques,"Mathématiques, Physique-chimie (PC), Sciences de la vie et de la Terre (SVT), Histoire - Géographie, Art, Français, Éducation physique et sportive",Assez-bien,maths,Longues (>= master),Sciences et technologies,classe préparatoire,France,Finance ,18-21,Féminin,"Précise, logique, efficace ",,Étant doué partout j’ai choisi ce qui me faisait le plus réfléchir,Licence,"Sciences, Arts, Sport et Fitness, Technologie et Informatique, Nature et Environnement, Voyages, Philanthropie et Bénévolat, Santé et Bien-être",France,ligne,,2017,Oui,,Lille 1
16/10/2023 14:24:56,,Scientifique (équivalent),Mathématiques,Mathématiques,Très-bien,mathematiques ,Longues (>= master),Sciences et technologies,Université,France,Statistiques ,12-17,Masculin,,,,Licence,"Sciences, Arts, Sport et Fitness, Technologie et Informatique, Nature et Environnement, Cuisine et Gastronomie, Voyages, Histoire et Archéologie, Musique, Mode et Design, Science politique et Affaires publiques, Santé et Bien-être, Ingénierie, Cinema",France,hybrides,,2019,Oui,,Cite scientifique 
16/10/2023 14:24:34,,Economie et Sociale (équivalent),"Sciences économiques et sociales, Sciences de la vie et de la Terre (SVT)","Art, Sciences économiques et sociales",Bien,Licence Sciences du langage,Longues (>= master),"Lettres, langues et art",Université,France ,,12-17,Féminin,,,,Licence,"Arts, Musique, Mode et Design, Photographie, Théâtre et arts de la scène, Cinema",France ,hybrides,,2022,Oui,,Université de Lille
16/10/2023 14:20:21,,Economie et Sociale (équivalent),"Sciences économiques et sociales, Histoire-géographie ( HGGSP ), Humanités, littérature et philosophie","Histoire - Géographie, Français, Éducation physique et sportive, Communication et rédaction, Sciences politiques",Bien,Licence science politique ,Longues (>= master),Droit et sciences politiques,Université,france ,journalisme / ong ,12-17,Féminin,,,,Licence,"Sport et Fitness, Voyages, Science politique et Affaires publiques, Photographie, Santé et Bien-être",france ,présentiel,,2022,Oui,,université de lille 
16/10/2023 13:43:52,,Economie et Sociale (équivalent),"Mathématiques, Sciences économiques et sociales, Histoire-géographie ( HGGSP )",Sciences économiques et sociales,Assez-bien,science politique,Longues (>= master),Droit et sciences politiques,classe préparatoire,France,,18-21,Masculin,,,,Licence,"Sport et Fitness, Nature et Environnement, Voyages, Philanthropie et Bénévolat, Science politique et Affaires publiques, Cinema",France,présentiel,,2022,Oui,,université de lille
15/10/2023 21:05:00,,SVT HGGSP,"Physique-chimie (PC), Sciences de la vie et de la Terre (SVT), Histoire-géographie ( HGGSP )","Histoire - Géographie, Éducation physique et sportive, Sciences numériques et technologie, Communication et rédaction",Bien,histoire licence,Longues (>= master),Sciences humaines et sociales,Université,France ,Patrimoine et enseignement - recherche,12-17,Féminin,Vraiment?,,Histoire,Licence,"Sport et Fitness, Cuisine et Gastronomie, Voyages, Histoire et Archéologie, Musique, Mode et Design, Science politique et Affaires publiques",France ,hybrides,,2021,Oui,,Lille 3
14/10/2023 23:10:31,,Technique (équivalent),Numériques et sciences informatiques,Sciences numériques et technologie,Bien,Informatique,Longues (>= master),Sciences et technologies,DUT,France,Enseignement,18-21,Masculin,,,Recherche internet et discusion avec des proches,Master,"Sciences, Technologie et Informatique, Musique, Association",,hybrides,"DUT est l'ancien nom pour BUT (diplôme actuelle), NSI est récent est certain connaissent plutôt SIN ou SN.",2017,Oui,,Université de Lille
14/10/2023 14:57:53,,Economie et Sociale (équivalent),"Mathématiques, Sciences économiques et sociales, Histoire-géographie ( HGGSP )","Philosophie, Sciences politiques",Bien,Sciences politiques ,Longues (>= master),Droit et sciences politiques,Université,France,Haut fonctionnaire ,12-17,Masculin,"Raisonnable, persévérant, pointilleux ",,Remise en question sur soi,Licence,"Sciences, Technologie et Informatique, Voyages, Musique, Science politique et Affaires publiques, Cinema",France,présentiel,,2023,Oui,,Université de Lille
14/10/2023 14:13:28,,Economie et Sociale (équivalent),"Mathématiques, Sciences économiques et sociales, Histoire-géographie ( HGGSP )",Sciences politiques,Assez-bien,Science politique,Longues (>= master),Sciences humaines et sociales,Université,Franc,,12-17,Masculin,,,,Licence,"Technologie et Informatique, Science politique et Affaires publiques, Cinema",,présentiel,,2022,Oui,,Lille 2
13/10/2023 22:56:52,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC)","Mathématiques, Physique-chimie (PC), Histoire - Géographie, Langues étrangères",Très-bien,Littéraire ,Longues (>= master),"Lettres, langues et art",classe préparatoire,France,,12-17,Féminin,,,,Licence,"Arts, Voyages, Histoire et Archéologie, Philanthropie et Bénévolat, Théâtre et arts de la scène, Cinema",,présentiel,,2023,Oui,,
13/10/2023 22:11:14,,Scientifique (équivalent),Sciences de la vie et de la Terre (SVT),Sciences de la vie et de la Terre (SVT),Assez-bien,economie-gestion,Longues (>= master),Economie et gestion,Université,Niger ,,18-21,Féminin,,,,Master,"Nature et Environnement, Cuisine et Gastronomie, Musique",,ligne,,2019,Oui,,Université de Lorraine 
13/10/2023 22:08:44,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC), Sciences de la vie et de la Terre (SVT), Histoire-géographie ( HGGSP ), Sciences de l'ingénieur, Numériques et sciences informatiques","Mathématiques, Physique-chimie (PC), Sciences de la vie et de la Terre (SVT), Sciences numériques et technologie",Bien,Informatique,Longues (>= master),Sciences et technologies,classe préparatoire,Niger,IT,18-21,Masculin,Honnêteté et le respect de l'autre. ,,Avoir un boulot bien payé à la sortie d'école était l'une de mes premières motivations. ,Master,"Sciences, Technologie et Informatique, Science politique et Affaires publiques, Santé et Bien-être, Ingénierie",France,hybrides,Good,2019,Oui,,CESI
13/10/2023 22:00:13,,Scientifique (équivalent),Sciences de la vie et de la Terre (SVT),Sciences de la vie et de la Terre (SVT),Passable,Sciences de la terre ,Longues (>= master),Sciences et technologies,Université,Niger,,22-25,Masculin,,,,Master,Arts,,présentiel,,2019,Oui,,Université de pau 
13/10/2023 14:46:01,,Economie et Sociale (équivalent),"Sciences économiques et sociales, Histoire-géographie ( HGGSP )","Histoire - Géographie, Sciences économiques et sociales",Bien,licence Histoire ,Longues (>= master),Sciences humaines et sociales,Université,France,,12-17,Féminin,,,Mon professeur d’histoire au lycée m’a encouragé à partir dans ce domaine,Licence,"Arts, Voyages, Histoire et Archéologie",France,présentiel,,2020,Oui,,université de Lille 
13/10/2023 14:06:04,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC), Histoire-géographie ( HGGSP )","Mathématiques, Histoire - Géographie, Sciences économiques et sociales, Éducation physique et sportive, Langues étrangères, Sciences politiques",Assez-bien,Sciences Politiques,Longues (>= master),Droit et sciences politiques,Université,france,diplomatie,12-17,Masculin,"esprit logique, curieux ",,matières et options interessantes au lycée ,Bac,"Arts, Sport et Fitness, Nature et Environnement, Voyages, Histoire et Archéologie, Musique, Science politique et Affaires publiques, Théâtre et arts de la scène, Cinema",france,présentiel,,2021,Oui,,Lille 2
12/10/2023 22:30:40,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC)",Mathématiques,Bien,ingénieur en aérospatiale,Longues (>= master),Sciences et technologies,école d'ingénieur publique,France,ingénieur en aérospatiale,12-17,Masculin,,,,école d'ingénieur,"Sciences, Technologie et Informatique, Ingénierie",France,présentiel,,2021,Oui,,INSA
12/10/2023 21:44:18,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC), Sciences de l'ingénieur","Mathématiques, Langues étrangères",Assez-bien,Informatique,Longues (>= master),Sciences et technologies,Ecole d'ingénieur avec prépa intégrée,France,Informatique - Réalité Virtuelle,12-17,Masculin,,,,Master,"Technologie et Informatique, Cuisine et Gastronomie, Musique, Photographie, Ingénierie",France,hybrides,,2021,Oui,,
12/10/2023 17:09:18,,Economie et Sociale (équivalent),"Sciences économiques et sociales, Histoire-géographie ( HGGSP )","Français, Sciences économiques et sociales, Langues étrangères, Sciences politiques",Très-bien,licence de sciences politiques ,Longues (>= master),Sciences humaines et sociales,Université,france,,12-17,Féminin,,,,Bac,"Sport et Fitness, Nature et Environnement, Voyages, Musique, Science politique et Affaires publiques, Cinema",,présentiel,,2023,Non,,
12/10/2023 16:45:57,,Technique (équivalent),Eco droit / Management / Gestion finance,"Histoire - Géographie, Langues étrangères",Bien,Classe prepa ECT,Longues (>= master),Economie et gestion,DUT,France ,,18-21,Féminin,J’apprends et comprends très vite,,"L’année de mon bac, au deuxième semestre un ancien élève est venu présenter cette filière, car personne connaissait étant situé en ZEP",Bac,"Sciences, Cuisine et Gastronomie, Voyages, Musique, Science politique et Affaires publiques, Santé et Bien-être",France,hybrides,,2021,Non,,Dans un lycée 
12/10/2023 15:22:01,,Economie et Sociale (équivalent),"Sciences économiques et sociales, Histoire-géographie ( HGGSP ), Langues, littératures et cultures étrangères","Histoire - Géographie, Français, Langues étrangères, Sciences politiques",Très-bien,Science politique ,Longues (>= master),Droit et sciences politiques,Université,France,Représentation politique ,18-21,Féminin,,,Spécialité HGGSP,Licence,"Histoire et Archéologie, Musique, Science politique et Affaires publiques, Théâtre et arts de la scène",France,présentiel,,2022,Oui,,Université
12/10/2023 14:07:31,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC), Sciences de la vie et de la Terre (SVT), Sciences de l'ingénieur, Numériques et sciences informatiques, C'était le bon vieux bac S, pas les conneries de maintenant. S SVT, spé Info","Physique-chimie (PC), Sciences de la vie et de la Terre (SVT), Histoire - Géographie, Sciences numériques et technologie, Langues étrangères",Bien,Ingénieur,Longues (>= master),Sciences et technologies,classe préparatoire,France,"Ingénierie, développement logiciel, électronique, systèmes embarqués",12-17,Masculin,"Je suis un baka certifié, et je suis titulaire d'une certification diplômante en Méthodes et Pratiques de la Pifométrie Appliquée délivrée par l'institut RACHE en conformité avec la norme UNM 00-001 ""Système d'Unités Pifométriques""",,"Par hasard ! J'aurais fini prof de physique si je m'étais écouté ; un conseil : ne pas s'écouter quand on est lycéen, encore jeune et con ^^",Master,"Sciences, Technologie et Informatique, Histoire et Archéologie, Science politique et Affaires publiques, Ingénierie, Lecture, mangas, animes, collection militaire, radio-amateur, cosplay",Bretagne,présentiel,apagnan,2016,Oui,,ISEN Brest
12/10/2023 13:46:03,,Economie et Sociale (équivalent),Sciences économiques et sociales,Langues étrangères,Passable,Web design,Courtes ( < master),Design graphique,Ecole privée,France,Le cinéma,12-17,Masculin,,,,Licence,"Sport et Fitness, Technologie et Informatique, Musique, Photographie, Cinema",France,présentiel,,2019,Oui,,Excelia
12/10/2023 13:30:13,,Littéraire (équivalent),"Histoire-géographie ( HGGSP ), Humanités, littérature et philosophie","Langues étrangères, Sciences politiques",Bien,science poltique,Longues (>= master),Droit et sciences politiques,Université,france,,18-21,Féminin,,,,Licence,"Sport et Fitness, Musique, Science politique et Affaires publiques",,présentiel,,2022,Oui,,
12/10/2023 12:35:07,,Economie et Sociale (équivalent),"Sciences économiques et sociales, Histoire-géographie ( HGGSP ), Humanités, littérature et philosophie","Philosophie, Histoire - Géographie, Français, Sciences économiques et sociales, Langues étrangères",Bien,licence de sciences politiques ,Longues (>= master),Droit et sciences politiques,Ecole privée,France,Diplomatie,18-21,Féminin,"L’humour, l’altruisme et la loyauté",,,Licence,"Sport et Fitness, Cuisine et Gastronomie, Voyages, Histoire et Archéologie, Musique, Mode et Design",France,hybrides,,2022,Oui,,La fac de sciences politiques à Lille 
12/10/2023 12:04:24,,Scientifique (équivalent),Mathématiques,Mathématiques,Passable,MIASHS,Longues (>= master),Sciences et technologies,Université,France,Écologie ,12-17,Masculin,,,J’aimais les maths,Master,"Sciences, Arts, Sport et Fitness, Technologie et Informatique, Nature et Environnement, Voyages, Histoire et Archéologie",France,présentiel,,2017,Oui,,Université de Lille
12/10/2023 08:08:17,,Littéraire (équivalent),"Sciences économiques et sociales, Arts, Langues, littératures et cultures étrangères",Art,Très-bien,Licence Arts parcours Études cinématographiques,Courtes ( < master),Art,Université,France,"Cinéma, culture, art",12-17,Féminin,,,,Bac,"Arts, Histoire et Archéologie, Musique, Cinema",France,hybrides,,2022,Oui,,Université de Lille
12/10/2023 08:05:39,,Scientifique (équivalent),Mathématiques,Sciences numériques et technologie,Passable,Iot,Longues (>= master),Sciences et technologies,Université,France,Cyber security et IA,18-21,Masculin,,,,Master,"Sciences, Technologie et Informatique, Ingénierie",France ,présentiel,,2017,Oui,,Lille1 
12/10/2023 00:07:06,,Littéraire (équivalent),"Histoire-géographie ( HGGSP ), Langues, littératures et cultures étrangères","Histoire - Géographie, Langues étrangères, Communication et rédaction",Bien,histoire,Longues (>= master),Sciences humaines et sociales,Université,France ,,18-21,Masculin,,,,Licence,"Voyages, Histoire et Archéologie, Communication ",France ,présentiel,,2021,Non,,Université de Lille 
11/10/2023 23:30:34,,Scientifique (équivalent),Histoire-géographie ( HGGSP ),Histoire - Géographie,Très-bien,Histoire,Longues (>= master),Histoire ,Université,France,Les métiers de l'enseignement,12-17,Masculin,"Très curieux et touche-à tout, je ne me ferme pas à des idées nouvelles et à d'autres disciplines. ",,Grâce à mes parents et à des recherches sur Internet,Licence,"Sciences, Sport et Fitness, Technologie et Informatique, Nature et Environnement, Histoire et Archéologie, Science politique et Affaires publiques",France,présentiel,,2021,Oui,,Université de Lille
11/10/2023 21:31:41,,Scientifique (équivalent),"Physique-chimie (PC), Sciences de l'ingénieur",Physique-chimie (PC),Passable,Dut,Longues (>= master),Sciences et technologies,DUT,France,Procédé et chimie,12-17,Masculin,"Rationnelle, aidant, drole",,"Découvert sur le net, et choisi en fonction d'impératifs médicaux (la formation doit avoir un aménagements lié à ma maladie) je suis passé par une école d'ingé avant de retourner en fac où le médical est plus pris en compte (à mon grand regret) ",Licence,"Sciences, Technologie et Informatique, Nature et Environnement, Cuisine et Gastronomie, Voyages, Science politique et Affaires publiques, Ingénierie, Cinema",France,présentiel,,2014,Non,,Fac
11/10/2023 18:49:09,,Scientifique (équivalent),Physique-chimie (PC),"Mathématiques, Physique-chimie (PC), Sciences de la vie et de la Terre (SVT), Français, Langues étrangères",Bien,Licence Informatique,Longues (>= master),Sciences et technologies,classe préparatoire,France,"Développement, conception, architecture, suivi de projet, ...",18-21,Féminin,,,"Refusée pour mon premier choix de prépa chimie, j'ai commencé la licence, j'ai découvert l'informatique et ai décidé de poursuivre dans le domaine",Ingénieur,"Sciences, Arts, Sport et Fitness, Technologie et Informatique, Nature et Environnement, Cuisine et Gastronomie, Histoire et Archéologie, Musique, Santé et Bien-être, Ingénierie, Théâtre et arts de la scène, Cinema, Travail manuel",France,présentiel,,2017,Oui,,"Université de Lille pour la licence, puis polytech'lille pour la formation ingénieur"
11/10/2023 18:39:08,,Littéraire (équivalent),"Sciences économiques et sociales, Histoire-géographie ( HGGSP ), Langues, littératures et cultures étrangères","Langues étrangères, Sciences politiques",Assez-bien,sciences politiques,Longues (>= master),Droit et sciences politiques,Université,France,,18-21,Féminin,,,,Licence,Science politique et Affaires publiques,France,présentiel,,2022,Oui,,Université de Lille
11/10/2023 18:38:31,,Economie et Sociale (équivalent),"Mathématiques, Sciences économiques et sociales, Histoire-géographie ( HGGSP )","Histoire - Géographie, Français, Sciences économiques et sociales, Langues étrangères, Communication et rédaction, Sciences politiques, Education Civique et Morale",Très-bien,Sciences politiques,Longues (>= master),Droit et sciences politiques,Université,France,"journalisme, recherche",12-17,Féminin,,,,Licence,"Arts, Voyages, Histoire et Archéologie, Musique, Science politique et Affaires publiques",France,présentiel,,2022,Oui,,FSJPS Lille
11/10/2023 18:37:37,,Scientifique (équivalent),Physique-chimie (PC),Sciences de la vie et de la Terre (SVT),Passable,Master,Longues (>= master),Sciences et technologies,Université,France,,12-17,Masculin,,,,Master,Technologie et Informatique,France,hybrides,,2017,Oui,,
11/10/2023 18:36:55,,Scientifique (équivalent),"Mathématiques, Physique-chimie (PC), Sciences de l'ingénieur","Mathématiques, Physique-chimie (PC)",Très-bien,Prepa PTSI,Longues (>= master),Sciences et technologies,classe préparatoire,France ,,12-17,Masculin,,,,Master,"Sport et Fitness, Cuisine et Gastronomie, Voyages, Musique, Photographie, Ingénierie, Cinema",France ,présentiel,,2018,Oui,,Arts et Métiers Paristech
11/10/2023 17:57:49,,Scientifique (équivalent),"Sciences de la vie et de la Terre (SVT), Numériques et sciences informatiques","Mathématiques, Sciences de la vie et de la Terre (SVT), Éducation physique et sportive, Sciences numériques et technologie, Education Civique et Morale",Bien,DUT > Licence > Master,Courtes ( < master),Sciences et technologies,DUT,France,Dev Web,12-17,Masculin,"Loyal, compréhensif, ouvert",,"Pour essayer, faire qq chose de différent du Lycée.",Master,"Sciences, Sport et Fitness, Technologie et Informatique, Nature et Environnement, Cuisine et Gastronomie, Cinema",France,présentiel,,2019,Oui,,FIL Univ Lille
11/10/2023 17:33:56,,Littéraire (équivalent),"Mathématiques, Humanités, littérature et philosophie, Langues, littératures et cultures étrangères","Art, Français",Passable,Études théâtrales,Courtes ( < master),Art,Université,France,"Comédien, prof de théâtre, art thérapie",12-17,Masculin,,,,Licence,"Cuisine et Gastronomie, Voyages, Musique, Théâtre et arts de la scène, Littérature ",France,présentiel,,2022,Oui,,Université de Lille
11/10/2023 17:29:20,,Economie et Sociale (équivalent),"Mathématiques, Sciences économiques et sociales, Histoire-géographie",Sciences économiques et sociales,Assez-bien,Sociologie politiques sociales,Longues (>= master),Sciences humaines et sociales,Université,France,,18-21,Féminin,,,Celle où j'avais les meilleurs notes au lycée,Licence,"Cuisine et Gastronomie, Histoire et Archéologie, Science politique et Affaires publiques, Cinema",France,ligne,,2021,Oui,,"Université de Lille, Fasest"
11/10/2023 17:28:10,,Scientifique (équivalent),Mathématiques,"Mathématiques, Sciences de la vie et de la Terre (SVT), Français",Assez-bien,Biologie,Longues (>= master),Biologie puis Humanités,Université,France,"Cinema , culture",12-17,Féminin,,,Toute seule,Licence,"Sciences, Arts, Technologie et Informatique, Cinema",France,présentiel,,2017,Oui,,Universite de Pau puis de Lille
11/10/2023 17:09:46,,Economie et Sociale (équivalent),"Sciences économiques et sociales, Histoire-géographie, Langues, littératures et cultures étrangères","Langues étrangères, Sciences politiques",Assez-bien,sciences politiques,Longues (>= master),Droit et sciences politiques,Université,France,,18-21,Féminin,Empathique ,,Déjà intéressé par les questions sociales et ce qu’il se passait dans le monde depuis jeune mais j’ai pu découvrir la géopolitique au lycée pour constater que c’était ce qui m’intéressait en terme d’études ,Licence,"Arts, Cuisine et Gastronomie, Musique, Philanthropie et Bénévolat, Mode et Design, Science politique et Affaires publiques, Cinema",France,présentiel,,2022,Oui,,Université de Lille 
11/10/2023 17:04:35,,Economie et Sociale (équivalent),"Sciences économiques et sociales, Histoire-géographie, Humanités, littérature et philosophie","Sciences économiques et sociales, Sciences politiques",Bien,science politique   ,Courtes ( < master),Droit et sciences politiques,Université,France ,Journaliste ,18-21,Féminin,,,Grâce aux spe et au métier que je souhaite ,Licence,"Sport et Fitness, Cuisine et Gastronomie, Voyages, Musique",France ,présentiel,,2022,Non,,Université Lille 
11/10/2023 16:59:50,,Littéraire (équivalent),Pas de spécialité ,Histoire - Géographie,Très-bien,Humanités puis Histoire,Longues (>= master),"Lettres, langues et art",Université,France ,Secteurs du patrimoine,12-17,Féminin,,,,Licence,"Arts, Lettres + jeux vidéo ",France ,présentiel,,2019,Oui,,Lille pont de bois
11/10/2023 16:54:52,,Economie et Sociale (équivalent),"Sciences économiques et sociales, Histoire-géographie","Physique-chimie (PC), Sciences de la vie et de la Terre (SVT), Histoire - Géographie, Sciences économiques et sociales",Bien,science politique,Longues (>= master),Sciences humaines et sociales,Université,France,Jsp,12-17,Féminin,Organisée,,Par un ami,Licence,"Nature et Environnement, Voyages, Musique, Science politique et Affaires publiques, Santé et Bien-être",France,ligne,,2022,Non,,FSJPS
11/10/2023 16:49:22,,Scientifique (équivalent),"Mathématiques, Sciences de la vie et de la Terre (SVT), Histoire-géographie",Histoire - Géographie,Bien,sciences politiques ,Longues (>= master),Sciences humaines et sociales,Université,France ,Je sais pas ,12-17,Féminin,Drôle ,,Parcours sup,Licence,Science politique et Affaires publiques,France ,présentiel,,2021,Oui,,Lille 2 
11/10/2023 16:48:38,,Littéraire (équivalent),"Sciences économiques et sociales, Langues, littératures et cultures étrangères, Géopolitique ","Histoire - Géographie, Langues étrangères",Bien,Science politique ,Longues (>= master),Droit et sciences politiques,Université,France ,,12-17,Féminin,,,,Licence,"Arts, Cuisine et Gastronomie, Voyages",France ,hybrides,,2022,Oui,,Lille 2
11/10/2023 10:51:09,,Scientifique (équivalent),Physique-chimie (PC),Physique-chimie (PC),Très-bien,informatique,Longues (>= master),Sciences et technologies,Université,Maroc,Data analyst,12-17,Masculin,Polyvalent,,,Master,"Sciences, Cuisine et Gastronomie, Philanthropie et Bénévolat, Cinema",France,présentiel,,2015,Oui,,université de lille
30/09/2023 19:51:23,,Littéraire (équivalent),"Physique-chimie (PC), Sciences économiques et sociales, Sciences de la vie et de la Terre (SVT), Histoire-géographie, Humanités, littérature et philosophie, Langues, littératures et cultures étrangères, Sports, Littérature, langues et culture de l'Antiquité","Sciences de la vie et de la Terre (SVT), Philosophie, Histoire - Géographie, Français, Sciences économiques et sociales, Langues étrangères",Assez-bien,Droit ,Longues (>= master),Droit et sciences politiques,Université,Senegal ,DROIT IMMOBILIER ,22-25,Féminin, ,,,Licence,Avocat ,France ,présentiel,Questionnaire très intéressant ,2019,Oui,,Université de lille 
